# started_utc=2025-11-04T11:32:27.651693Z
# rows=3
# cols=2
# threshold_init=30
# threshold_mode_init=global
t_iso,loop_idx,auto_mode,dn_state,profile,exposure_locked,exposure_ms,exposure_gain,threshold_mode,threshold_value,dark_cutoff,overall_dark,S00_dark,S01_dark,S10_dark,S11_dark,S20_dark,S21_dark,DAC_HF1,DAC_HF2,DAC_HS11,DAC_HS12,DAC_HS21,DAC_HS22,DAC_LF1,DAC_LF2,DAC_LS1,DAC_LS2
2025-11-04T11:32:40.202665Z,99,1,0,Classroom,1,8.0,,global,30,30,23,7,10,51,44,15,14,27,2,0,0,159,159,0,0,0,0
2025-11-04T11:32:40.326685Z,100,1,0,Classroom,1,8.0,,global,30,30,23,7,10,49,43,15,13,24,0,0,0,162,162,0,0,0,0
2025-11-04T11:32:40.450845Z,101,1,0,Classroom,1,8.0,,global,30,30,23,7,10,48,43,15,13,21,0,0,0,165,165,0,0,0,0
2025-11-04T11:32:40.573819Z,102,1,0,Classroom,1,8.0,,global,30,30,22,6,10,47,43,14,13,18,0,0,0,168,168,0,0,0,0
2025-11-04T11:32:40.696325Z,103,1,0,Classroom,1,8.0,,global,30,30,22,7,10,48,42,14,12,15,0,0,0,171,171,0,0,0,0
2025-11-04T11:32:40.830316Z,104,1,0,Classroom,1,8.0,,global,30,30,22,6,9,46,42,14,12,12,0,0,0,174,174,0,0,0,0
2025-11-04T11:32:40.962514Z,105,1,0,Classroom,1,8.0,,global,30,30,22,6,9,47,42,14,12,9,0,0,0,177,177,0,0,0,0
2025-11-04T11:32:41.093782Z,106,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,11,6,0,0,0,180,180,0,0,0,0
2025-11-04T11:32:41.217756Z,107,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,12,3,0,0,0,183,183,0,0,0,0
2025-11-04T11:32:41.341119Z,108,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,12,0,0,0,0,186,186,0,0,0,0
2025-11-04T11:32:41.463908Z,109,1,0,Classroom,1,8.0,,global,30,30,22,7,9,46,41,14,12,0,0,0,0,189,189,0,0,0,0
2025-11-04T11:32:41.590316Z,110,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,42,14,12,0,0,0,0,192,192,0,0,0,0
2025-11-04T11:32:41.712619Z,111,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,11,0,0,0,0,195,195,0,0,0,0
2025-11-04T11:32:41.839049Z,112,1,0,Classroom,1,8.0,,global,30,30,21,6,9,46,41,14,12,0,0,0,0,198,198,0,0,0,0
